,City,Status,Temperature,Humidity,Wind Speed,Visibility
0,Surabaya,Clouds,299.12,94,2.15,5000
1,Malang,Clouds,296.24,73,0.94,10000
2,Jakarta,Clouds,300.0,85,1.54,2000
3,Bali,Clouds,299.69,84,2.78,10000
4,Bekasi,Clouds,299.13,100,2.99,2000
5,Medan,Clouds,298.17,94,1.54,4500
6,New York,Clear,294.47,67,0.89,10000
7,Los Angeles,Clear,299.54,41,1.54,10000
8,Boston,Clouds,293.66,61,4.02,10000
9,Florida,Clear,300.19,75,4.16,10000
10,Texas,Clouds,303.12,48,6.13,10000
11,Oregon,Clouds,282.92,49,7.57,10000
